2016/7/1_14:9:22||	$pS170.281339,	$187820.316978,	B2379.838800,	S-5529.874744,	SC1103,	Num0		,	29.550000,	80.536000,	54.056000,	-102.299000,	-269.392000,	374.651000,	209.750000,	203.930000,	-44.479000,	-39.699000,	-484.142000,	489.294000,	-382.153000,	-495.792000,	-144.743000,	348.765000,	24.289000,	1.453000,	-500.000000,	-223.583000,	-47.353000,	50.519000,	-103.841000,	432.567000,	28.482000,	482.574000,	-96.998000,	-433.186000,	23.709000,	115.988000,	126.990000,	-485.574000,	-447.495000,	-487.211000,	-359.511000,	-493.159000,	277.339000,	-495.738000,	439.304000,	-153.803000,	116.613000,	-157.732000,	-87.753000,	28.884000,	160.056000,	-69.479000,	-497.807000,	222.907000,	-442.321000,	-48.986000
2016/7/13_23:4:33||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_23:6:1||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_23:24:29||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_23:27:44||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_23:29:34||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/14_19:47:5||	$pS197.618302,	$194258.791174,	B1769.470632,	S-5722.175200,	SC983,	Num0,	GUID86527416		,	-90.966000,	-19.452000,	56.560000,	-101.170000,	-369.728000,	-301.610000,	-87.634000,	-410.122000,	292.862000,	70.156000,	179.326000,	109.798000,	332.840000,	34.690000,	-500.000000,	-106.480000,	-412.808000,	103.790000,	-389.400000,	500.000000,	-172.214000,	35.690000,	69.282000,	388.802000,	-149.530000,	485.076000,	-378.754000,	102.808000,	-57.670000,	-248.820000,	148.608000,	-197.390000,	235.290000,	-5.432000,	-157.882000,	-272.368000,	-402.462000,	413.020000,	-314.260000,	154.700000,	153.404000,	-289.102000,	-246.376000,	-309.294000,	-378.588000,	83.084000,	-453.360000,	-494.304000,	-500.000000,	76.706000
2016/7/14_19:57:52||	$pS200.316703,	$191903.401238,	B1851.572012,	S-5722.471800,	SC958,	Num0,	GUID722718150		,	-23.866000,	-77.582000,	59.940000,	-95.470000,	-368.898000,	-318.540000,	-46.444000,	-338.042000,	344.282000,	70.116000,	270.846000,	118.518000,	327.380000,	20.150000,	-500.000000,	-108.700000,	-373.458000,	157.740000,	-388.230000,	500.000000,	-173.244000,	13.930000,	108.752000,	425.612000,	-180.330000,	500.000000,	-418.714000,	56.418000,	-47.760000,	-246.410000,	137.918000,	-241.860000,	291.090000,	-22.872000,	-245.142000,	-218.078000,	-436.472000,	355.690000,	-254.730000,	157.430000,	103.184000,	-265.442000,	-239.546000,	-277.824000,	-428.098000,	71.284000,	-472.660000,	-469.694000,	-500.000000,	19.686000
2016/7/14_19:59:3||	$pS198.310488,	$206242.907201,	B1658.715732,	S-5054.387500,	SC1040,	Num0,	GUID6371376		,	-48.526000,	-34.182000,	29.090000,	-173.750000,	-369.898000,	-265.410000,	-117.474000,	-446.922000,	234.842000,	206.106000,	230.456000,	192.338000,	321.400000,	-65.920000,	-485.110000,	-129.720000,	-440.958000,	53.090000,	-333.610000,	500.000000,	-150.354000,	14.060000,	138.132000,	443.542000,	-204.210000,	462.510000,	-443.544000,	69.458000,	-99.230000,	-362.160000,	162.978000,	-246.890000,	373.790000,	-22.902000,	-258.582000,	-139.798000,	-496.922000,	440.180000,	-234.940000,	95.540000,	39.344000,	-297.072000,	-261.616000,	-345.874000,	-466.518000,	144.974000,	-397.610000,	-477.340000,	-500.000000,	53.486000
2016/7/14_19:59:52||	$pS199.559656,	$213728.391765,	B1431.150912,	S-5291.880000,	SC1071,	Num0,	GUID205523532		,	-72.456000,	-19.752000,	52.750000,	-100.320000,	-365.558000,	-377.030000,	-60.344000,	-420.262000,	364.072000,	48.576000,	324.016000,	92.608000,	299.320000,	-4.130000,	-500.000000,	-171.350000,	-405.798000,	32.510000,	-319.820000,	490.244000,	-119.484000,	9.090000,	67.262000,	405.202000,	-177.930000,	442.026000,	-356.074000,	70.058000,	9.760000,	-303.210000,	43.678000,	-356.020000,	175.270000,	-64.042000,	-233.722000,	-149.048000,	-338.172000,	385.900000,	-221.080000,	173.230000,	119.064000,	-226.462000,	-256.206000,	-347.274000,	-439.418000,	33.864000,	-458.060000,	-500.000000,	-499.680000,	59.216000
2016/7/14_20:2:1||	$pS198.435861,	$204190.501301,	B1319.364672,	S-3726.871400,	SC1029,	Num0,	GUID143114272		,	75.444000,	17.488000,	58.060000,	-64.190000,	-261.188000,	-351.330000,	-49.484000,	-418.052000,	280.852000,	-65.484000,	87.296000,	79.388000,	150.070000,	23.060000,	-438.910000,	-217.100000,	-442.340000,	277.460000,	-235.570000,	420.830000,	-147.704000,	-12.620000,	199.792000,	500.000000,	-346.220000,	417.606000,	-442.780000,	287.708000,	70.140000,	-184.140000,	154.888000,	-203.330000,	367.840000,	92.628000,	-130.402000,	-242.438000,	-352.692000,	315.190000,	-203.500000,	-17.140000,	-5.166000,	-358.472000,	-226.766000,	-125.354000,	-437.738000,	-67.606000,	-500.000000,	-305.244000,	-446.140000,	-61.194000
2016/7/14_20:3:23||	$pS195.417148,	$203038.416418,	B1677.757252,	S-5441.790900,	SC1039,	Num0,	GUID145453302		,	-32.066000,	-52.322000,	37.610000,	-144.690000,	-381.008000,	-321.660000,	-55.574000,	-355.112000,	315.142000,	-24.294000,	161.046000,	36.838000,	157.170000,	78.320000,	-500.000000,	-20.350000,	-447.008000,	-31.200000,	-317.030000,	453.400000,	-123.964000,	80.440000,	89.892000,	444.282000,	-338.090000,	448.230000,	-310.424000,	217.268000,	-62.670000,	-305.840000,	123.968000,	-134.420000,	182.920000,	-43.812000,	-220.772000,	-247.268000,	-495.500000,	377.420000,	-148.830000,	109.300000,	60.964000,	-102.022000,	-287.186000,	-180.914000,	-397.988000,	-21.286000,	-328.070000,	-435.310000,	-500.000000,	95.416000
2016/7/15_23:17:1||	$pS206.140633,	$205934.492036,	B1654.746408,	S-5170.878400,	SC999,	Num0,	GUID632957250		,	-52.164000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/15_23:24:30||	$pS206.140633,	$205934.492036,	B1654.492632,	S-5170.878400,	SC999,	Num0,	GUID282851130		,	-52.156000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/15_23:33:56||	$pS169.558564,	$490363.368495,	B684.827150,	S-5046.328674,	SC2892,	Num0,	GUID305480931		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_11:7:44||	$pS206.140633,	$205934.492036,	B1654.492632,	S-5170.878400,	SC999,	Num0,	GUID17892576		,	-52.156000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/16_11:22:4||	$pS216.797756,	$205524.272407,	B1857.474832,	S-5235.430560,	SC948,	Num0,	GUID378407648		,	-5.791000,	-320.752000,	80.555000,	-64.992000,	-469.567000,	-188.750000,	7.880000,	148.713000,	94.626000,	123.796000,	79.087000,	221.450000,	37.268000,	130.513000,	-202.164000,	350.906000,	148.759000,	386.556000,	-167.033000,	161.789000,	-470.740000,	-467.124000,	237.190000,	-345.460000,	-56.583000,	384.280000,	-131.171000,	297.841000,	-494.607000,	122.146000,	163.261000,	-483.303000,	400.102000,	17.716000,	-147.154000,	-252.844000,	-498.596000,	-97.477000,	-148.377000,	329.314000,	419.563000,	-291.664000,	-438.602000,	-430.993000,	-459.250000,	-27.262000,	-420.306000,	-152.798000,	-294.547000,	-43.688000
2016/7/16_12:56:13||	$pS0.000000,	$-92559631349317830736831783200707727132248687965119994463780864.000000,	B684.827150,	S-5046.328674,	SC0,	Num-858993460,	GUID757147		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_12:57:6||	$pS0.000000,	$-92559631349317830736831783200707727132248687965119994463780864.000000,	B684.827150,	S-5046.328674,	SC0,	Num-858993460,	GUID757147		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_12:57:18||	$pS0.000000,	$-92559631349317830736831783200707727132248687965119994463780864.000000,	B684.827150,	S-5046.328674,	SC0,	Num-858993460,	GUID757147		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_13:29:40||	$pS0.000000,	$-92559631349317830736831783200707727132248687965119994463780864.000000,	B684.827150,	S-5046.328674,	SC0,	Num-858993460,	GUID757147		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_13:34:46||	$pS0.000000,	$-92559631349317830736831783200707727132248687965119994463780864.000000,	B684.827150,	S-5046.328674,	SC0,	Num-858993460,	GUID757147		,	-62.650000,	-10.931000,	-237.519000,	21.246000,	-453.878000,	-498.040000,	191.418000,	-51.547000,	118.868000,	-53.914000,	127.345000,	340.643000,	448.527000,	-104.543000,	-457.780000,	-157.901000,	-228.289000,	474.129000,	-148.464000,	324.665000,	-238.298000,	128.117000,	-94.105000,	102.610000,	-346.159000,	250.311000,	-500.000000,	434.355000,	-449.641000,	103.530000,	192.603000,	-260.609000,	419.444000,	-332.348000,	-219.857000,	-6.943000,	-375.820000,	499.722000,	-41.301000,	77.868000,	257.582000,	-79.722000,	-478.783000,	-256.887000,	-431.114000,	73.885000,	-298.655000,	-404.633000,	-500.000000,	52.169000
2016/7/16_14:16:26||	$pS86.163063,	$82199.562251,	B1698.350615,	S-30402.829211,	SC954,	Num0,	GUID79521145		,	-22.688600,	-74.854800,	-90.234800,	336.930200,	-439.737200,	-499.700000,	145.229600,	-490.503200,	54.278400,	351.530600,	-253.556400,	316.203200,	100.638400,	267.888800,	-271.065000,	11.467800,	-0.816200,	448.896400,	-208.513800,	-19.728600,	-251.636200,	-117.589000,	-190.517600,	120.604200,	-174.972400,	385.215600,	-375.954400,	168.776400,	-495.727200,	494.867200,	-210.970200,	-218.082000,	475.991200,	-198.840600,	-457.002000,	-473.665600,	-498.118400,	234.666600,	51.428400,	-320.715000,	182.062600,	65.921400,	-499.764400,	-500.000000,	-303.226800,	-2.121800,	-478.662400,	-355.311200,	-494.456800,	218.082000
2016/7/16_14:26:47||	$pS86.163063,	$82199.562251,	B1698.350615,	S-30402.829211,	SC954,	Num0,	GUID757147		,	-22.688600,	-74.854800,	-90.234800,	336.930200,	-439.737200,	-499.700000,	145.229600,	-490.503200,	54.278400,	351.530600,	-253.556400,	316.203200,	100.638400,	267.888800,	-271.065000,	11.467800,	-0.816200,	448.896400,	-208.513800,	-19.728600,	-251.636200,	-117.589000,	-190.517600,	120.604200,	-174.972400,	385.215600,	-375.954400,	168.776400,	-495.727200,	494.867200,	-210.970200,	-218.082000,	475.991200,	-198.840600,	-457.002000,	-473.665600,	-498.118400,	234.666600,	51.428400,	-320.715000,	182.062600,	65.921400,	-499.764400,	-500.000000,	-303.226800,	-2.121800,	-478.662400,	-355.311200,	-494.456800,	218.082000
